tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,mean
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.133333333
2,1,0,1,2,3,2,1,1,2,2,2,3,2,1,2,1,2,0,3,0,3,2,1,2,0,1,3,3,1,1,0,2,0,1,2,2,2,2,0,0,1,2,2,2,0,3,1,2,0,3,3,2,3,3,2,3,1,3,2,3,1.666666667
3,2,1,3,3,0,0,2,2,2,2,2,2,2,3,3,3,2,2,2,0,3,2,2,2,1,2,2,3,2,1,0,1,1,2,3,2,2,1,0,0,1,3,2,1,0,2,2,2,0,2,2,2,2,2,2,1,2,2,1,1,1.7
4,1,2,2,0,2,1,2,2,2,2,1,3,1,3,2,3,3,1,1,1,1,1,2,3,2,1,2,1,3,2,2,2,2,2,2,1,3,2,0,1,2,2,3,2,0,2,1,2,1,2,2,3,1,1,3,3,2,2,1,0,1.75
5,3,2,1,2,1,4,2,2,2,3,2,2,0,2,2,3,1,3,2,3,3,1,2,2,1,2,3,3,3,3,2,2,3,2,3,3,2,1,0,0,3,3,2,2,0,3,1,3,3,4,2,1,1,3,3,3,3,2,1,2,2.133333333
6,2,2,1,1,2,1,2,2,1,0,1,3,3,3,1,4,1,1,3,1,3,1,2,3,3,3,2,2,1,2,1,4,0,3,2,2,2,0,0,2,2,0,2,3,1,3,1,1,2,2,1,3,2,1,3,1,2,2,1,1,1.783333333
7,2,1,1,2,2,1,2,2,2,1,2,3,3,0,3,0,2,1,2,2,2,3,3,2,2,2,3,1,3,2,2,4,3,1,3,3,0,2,0,0,2,1,1,2,0,3,1,4,3,1,1,3,3,1,4,0,3,1,1,2,1.866666667
8,1,1,1,3,2,2,2,0,2,1,1,0,0,1,2,1,1,2,1,1,4,2,2,2,2,2,2,2,2,3,3,3,2,5,3,1,1,0,0,2,1,2,1,3,0,1,2,1,1,3,1,5,1,2,1,2,2,0,1,0,1.633333333
9,3,2,1,1,1,2,2,4,1,3,3,1,1,2,2,0,2,2,2,2,2,4,2,2,1,3,4,3,3,0,0,1,0,5,4,4,0,4,0,2,3,3,3,3,1,2,4,3,2,2,4,2,1,2,2,1,1,2,2,0,2.066666667
10,1,3,2,2,2,1,1,2,2,3,1,1,1,2,0,1,3,3,1,3,2,1,1,3,3,0,3,3,2,1,1,2,1,3,1,0,1,4,0,4,1,1,2,1,3,2,3,2,2,3,2,1,0,0,1,1,2,0,2,2,1.7
11,2,0,1,0,4,2,2,2,0,3,3,0,2,2,1,2,4,3,5,2,3,3,1,0,4,3,3,0,2,2,1,3,1,2,0,0,2,2,0,1,2,1,0,2,3,2,4,3,4,1,3,0,1,0,2,2,3,1,0,0,1.783333333
12,2,2,1,0,0,1,2,1,3,1,2,3,3,0,2,2,1,3,2,2,2,0,3,2,2,0,2,3,2,0,1,0,0,4,0,3,2,3,0,0,0,2,1,1,4,0,2,3,3,2,0,4,2,2,0,2,0,2,0,3,1.583333333
13,0,2,0,3,2,1,1,2,2,2,1,1,5,2,2,1,5,2,4,1,2,2,0,0,2,1,0,2,1,0,1,2,1,2,3,3,4,4,0,1,0,1,0,3,0,2,0,0,5,3,0,3,0,1,1,0,3,2,0,1,1.583333333
14,1,0,1,3,1,1,0,1,1,2,2,3,3,3,0,1,2,2,2,3,0,0,2,0,2,4,1,0,4,1,0,1,1,2,2,2,2,0,0,1,3,0,1,0,5,0,0,1,2,0,2,0,3,0,0,5,2,1,1,0,1.383333333
15,1,3,2,0,4,2,2,1,3,4,2,2,2,2,0,3,0,2,3,1,1,1,4,2,1,1,1,3,0,1,0,1,1,3,0,2,1,1,1,2,3,3,1,1,0,1,1,1,1,1,2,1,2,2,2,0,1,1,2,1,1.55
16,0,1,1,1,0,1,3,1,3,3,2,2,1,1,2,4,1,3,2,1,2,1,3,3,4,1,1,3,1,1,2,2,2,3,2,1,0,3,1,2,1,4,2,0,4,0,0,1,4,1,1,2,1,0,1,1,0,2,0,1,1.616666667
17,1,1,2,0,2,0,0,1,1,2,1,2,1,2,3,3,2,2,3,1,2,0,2,2,2,2,2,0,5,0,0,2,0,2,2,3,1,2,1,2,1,2,0,1,3,1,2,0,1,3,1,1,0,1,1,0,2,1,1,1,1.416666667
18,2,3,0,1,1,1,5,1,2,4,1,1,0,2,4,1,2,0,5,2,1,0,1,0,5,0,2,1,0,3,0,0,1,4,3,0,0,0,2,0,4,1,0,0,3,0,5,2,2,1,0,3,4,2,0,0,0,3,2,1,1.566666667
19,0,2,2,2,1,0,1,3,3,2,0,2,2,0,2,4,2,2,1,1,2,4,4,1,0,4,2,0,0,0,0,0,4,1,3,0,1,3,1,3,2,2,1,0,3,2,4,2,0,1,1,0,1,0,2,0,2,2,0,2,1.533333333
20,1,3,1,0,0,2,2,4,0,2,4,2,1,2,2,2,3,2,1,3,2,1,2,2,1,1,1,0,1,1,3,2,3,4,1,0,3,3,1,1,1,1,2,0,3,3,0,3,3,2,0,1,3,0,0,1,1,0,1,0,1.583333333
21,2,1,2,1,2,1,1,0,2,0,1,2,4,3,1,2,0,2,3,2,2,0,2,1,3,2,4,2,0,0,4,3,0,0,1,0,2,1,0,1,2,2,3,2,2,0,0,3,2,0,3,3,2,1,1,0,1,0,2,1,1.5
